review,sentiment
"This movie was amazing!",positive
"Terrible waste of time",negative
"The acting was mediocre",negative
"Short and sweet",positive
"Too boring",negative
"Absolutely fantastic",positive
"Not worth the hype",negative
"An unforgettable experience",positive
"Disappointing plot",negative
"Brilliant performances",positive
"Could have been better",negative
"Heartwarming story",positive
"Poorly executed",negative
"Visually stunning",positive
"Predictable ending",negative
"Masterpiece",positive
"Uninspired",negative
"Highly entertaining",positive
"Forgettable",negative
"Exceeded expectations",positive
"Not my cup of tea",negative
"Simply outstanding",positive
"I loved every minute of it",positive